Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
159,CAG,205887102,-15035,0.6,0.4,563.4
160,RAVE,754198109,63.5,0.6,0.2,0.5
161,CTWS,207797101,237.6,0.4,0.4,11.7
162,BH,08986R101,133.7,0.4,0.4,25.2
163,CUO,211615307,-16,0.1,0.3,1.2
164,CTB,216831107,1622.1,0.3,0.5,94.9
165,COO,216648402,61.5,0.3,0.3,118.5
166,TAP,60871R209,73043,0.3,0.3,383.4
167,CBYDF,218349108,270.9,0.5,0.1,33.3
168,GLW,219350105,-36828.1,0.2,0.2,1059.5
169,CBRL,22410J106,122,0.6,0.4,102.6
170,CR,224399105,2876.1,0.2,0.2,117.6
171,CRD.A,224633206,199.7,0.2,0.5,14.5
172,CCK,228368106,-1468.8,1,2.3,60.6
173,CRWS,228309100,289.9,-5.3,3.9,0.1
174,CUB,229669106,2707.7,0.1,0.1,41.2
175,CULP,230215105,391,0.3,0.5,1
176,CMI,231021106,1800,0.2,0.3,790.1
177,CW,231561101,1495.2,0.3,0.3,92.4
178,GTBP,36254L100,-20.6,-0.6,0.2,-6
179,DST,233326107,-1460.6,0.5,0.3,336.4
180,WEN,95058W100,-2368.3,0.7,0.7,19.6
181,DHR,235851102,15813.3,0.2,0.1,1441.4
182,DAIO,237690102,39.8,0,0,-0.4
183,DWSN,239360100,202.4,0,0,3.6
184,TGT,8.76E+110,-14818.8,0.5,0.4,2163.6
185,DE,244199105,-3133.7,0.8,0.8,1690.4
186,DAL,247361702,-22562.5,0.6,8.1,-501.1
187,DLX,248019101,776.8,1.2,0.4,164.3
188,ATGE,00737L103,1760.5,0.1,0,116.5
189,DEWY,252063102,2,0.1,0.1,0.1
190,AOI,18772301,2580.8,0.7,2.6,-15.9
191,DBD,253651103,6672.1,0.2,0.2,67.3
192,NSYS,656553104,-9.1,0.3,0.5,0.8
193,DDS,254067101,2046.1,0.4,1.1,121.7
194,DIOD,254543101,924.8,0.3,0.3,31.9
195,DIS,254687106,-1956.2,0.3,0.2,3775.6
196,DXYN,255519100,-469.4,0.6,1.9,-3.8
197,WFSTF,958211203,-848.3,-0.6,14.1,-42.7
198,DCI,257651109,-125.4,0.2,0.1,156.4
199,RRD,257867200,4230,0.6,0.8,61.7
200,DMLP,25820R105,-110.9,0,0,31.5
201,DOV,260003108,2732.7,0.3,0.2,568
202,DWDP,26078J100,33143.8,0.4,0.4,2509.2
203,OMC,681919106,13320.1,0.2,0.2,839.8
204,ASNA,04351G101,11072,0.1,0.1,65
205,DCO,264147109,-380.3,0.3,0.6,4.9
206,DNB,2.65E+104,1923.3,1.5,0.2,231
207,FLS,34354P105,-3278.8,0.4,0.4,245.8
